N,Time,Ratio
1,0.0,0.0
2,0.0,0.0
4,0.0,0.0
8,0.0,0.0
16,0.0,0.0
32,0.0,0.0
64,0.0,0.0
128,0.0,0.0
256,0.003998994827270508,0.003998994827270508
512,0.003999948501586914,1.0002384785071246
1024,0.01999950408935547,4.999940394587829
2048,0.08000850677490234,4.00052453388012
4096,0.325930118560791,4.073693307110078
8192,1.3060197830200195,4.007054606634725
16384,5.225477695465088,4.001070859265068
32768,22.97113013267517,4.39598663919484
65536,91.31583261489868,3.975243363625672
131072,370.6228291988373,4.058691889300784
